Wavelength(nm)      SolarFlux(mW/m^2/nm)
1.00000000e+00      2.54558031e-21      
1.37500000e+00      1.60190307e-21      
2.12500000e+00      4.02841714e-15      
2.87500000e+00      1.93519172e-10      
3.62500000e+00      7.63690979e-09      
4.12500000e+00      4.97863257e-09      
4.37500000e+00      2.51474921e-08      
4.62500000e+00      6.21851679e-08      
4.87500000e+00      1.53617031e-08      
5.12500000e+00      3.11796283e-09      
5.37500000e+00      9.66466509e-10      
5.62500000e+00      2.62189811e-09      
5.87500000e+00      3.72551917e-09      
6.12500000e+00      5.65180026e-09      
6.37500000e+00      4.76527021e-09      
6.62500000e+00      3.43547512e-09      
6.87500000e+00      1.10642140e-08      
7.12500000e+00      1.32845994e-08      
7.37500000e+00      1.45374023e-08      
7.62500000e+00      7.37412772e-08      
7.87500000e+00      1.13210527e-07      
8.12500000e+00      3.03939272e-06      
8.37500000e+00      2.21822629e-06      
8.62500000e+00      9.86476651e-07      
8.87500000e+00      3.35421761e-07      
9.12500000e+00      5.81499876e-05      
9.37500000e+00      2.90059306e-04      
9.62500000e+00      1.17697655e-04      
9.87500000e+00      2.78988830e-06      
1.01250000e+01      3.98553669e-06      
1.03750000e+01      2.47144310e-06      
1.06250000e+01      2.00302705e-07      
1.08750000e+01      5.88440529e-08      
1.11250000e+01      7.06207507e-05      
1.13750000e+01      3.53009836e-04      
1.16250000e+01      1.43972393e-04      
1.18750000e+01      4.61409797e-06      
1.21000000e+01      5.27663703e-07      
1.23000001e+01      2.26662935e-07      
1.25000001e+01      1.59745166e-06      
1.27000002e+01      8.98055582e-07      
1.31125002e+01      9.97894013e-04      
1.37375002e+01      2.26471843e-05      
1.43625002e+01      5.96776383e-06      
1.49875002e+01      1.90837204e-05      
1.55875002e+01      7.52563719e-03      
1.61625003e+01      5.07614589e-03      
1.67375003e+01      5.49645951e-02      
1.73125004e+01      1.31232298e-01      
1.79625003e+01      2.01803171e-02      
1.86875002e+01      8.97129023e-03      
1.94125001e+01      6.72645031e-02      
2.01375000e+01      3.66043639e-03      
2.08250000e+01      9.40960984e-05      
2.14750001e+01      1.03271211e-01      
2.21250002e+01      4.34283780e-02      
2.27750003e+01      2.04859016e-02      
2.35875003e+01      3.82778690e-03      
2.45625002e+01      8.25499212e+00      
2.55375001e+01      1.73892813e-03      
2.65125000e+01      1.28078061e-03      
2.71250000e+01      6.17725973e-03      
2.73750000e+01      5.74837627e-04      
2.76250000e+01      6.24094841e-04      
2.78750000e+01      5.60978507e-02      
2.82500000e+01      1.38800353e-01      
2.87500000e+01      1.70228099e-01      
2.92500000e+01      1.96323588e+00      
2.97500000e+01      9.71820507e-03      
3.02500000e+01      1.17603302e-02      
3.07500000e+01      1.03244863e+00      
3.12500000e+01      2.12022014e+00      
3.17500000e+01      6.13738386e-02      
3.22500000e+01      5.48159407e-02      
3.27500000e+01      3.83723134e-01      
3.32500000e+01      1.62638825e-01      
3.37500000e+01      7.59507035e-02      
3.42500000e+01      6.78428010e-02      
3.47500000e+01      2.06087184e-02      
3.52500000e+01      1.66158327e+00      
3.57500000e+01      1.17843760e+00      
3.61250000e+01      6.12355274e-01      
3.63750000e+01      2.49088217e-02      
3.66250000e+01      4.24429219e-01      
3.68750000e+01      2.28899913e-03      
3.73750000e+01      1.39843699e-01      
3.81250000e+01      1.06631391e-02      
3.88750000e+01      1.79860123e+00      
3.96250000e+01      5.74949955e+00      
4.03750000e+01      5.27392273e+01      
4.11250000e+01      2.84453934e-01      
4.18750000e+01      2.89013850e+00      
4.26250000e+01      1.98781055e-01      
4.33750000e+01      2.80669156e+00      
4.41250000e+01      7.66424777e-01      
4.48750000e+01      2.94859446e-01      
4.56250000e+01      3.51387029e-01      
