 # Model name = Modern Earth(no ozone), Ramses CLIMA
 # Diameter: 12742                # Diameter of the planet [km]
 # Gravity: 9.81                  # Gravity at the surface of the atmosphere [m/s2]
 # Star-distance: 1               # Planet-star distance [au]
 # Star-type: Sun                 # Host-star type
 # Star-temperature: 5780         # Host-star temperature [K]
 # Wavelength-min: 0.2376            # Minimum wavelength [um]
 # Wavelength-max: inf           # Maximum wavelength [um]
 # Radiance-unit: Wsrm2um         # Radiation output unit
 # Surface-temperature: 285.3     # Surface temperature [K]
 # Surface-albedo: 0.32           # Surface albedo
 # Surface-emissivity: 1.0        # Surface emissivity
 # Opacity:corr.-k, BPS H2O cont. # corrk + continuum, other ?
 # Line opacities = H2O, CO2
 # CIA opacities = CO2-CO2, N2-N2, N2-CO2
 # Rayleigh opacities = N2, CO2, H2O
 # Outgoing longwave radiation (W/m^2) = 238.7
 # Absorbed stellar radiation (W/m^2) = 238.5
 # Atmosphere-description: Modern Earth
 # Atmosphere-columns: P T MMW Alt N2 CO2 H2O OTR ASR
 # Atmosphere-layers: 201
 #   P(Pa)     T(K)    MMW(g/mol)  Alt(km)     N2          CO2          H2O          OTR           ASR
 1.01440E+05  285.330  27.92145     0.000  9.91105E-01  4.00000E-04  8.49520E-03  8.57110E+01  1.74290E+02
 1.00270E+05  284.720  27.92396     0.099  9.91356E-01  4.00000E-04  8.24440E-03  9.04210E+01  1.76150E+02
 9.79610E+04  283.590  27.92860     0.299  9.91820E-01  4.00000E-04  7.77990E-03  9.46580E+01  1.77980E+02
 9.56720E+04  282.430  27.93261     0.501  9.92221E-01  4.00000E-04  7.37950E-03  9.83960E+01  1.79790E+02
 9.34040E+04  281.240  27.93626     0.705  9.92586E-01  4.00000E-04  7.01410E-03  1.01880E+02  1.81610E+02
 9.11580E+04  280.010  27.94026     0.911  9.92987E-01  4.00000E-04  6.61350E-03  1.05160E+02  1.83440E+02
 8.89360E+04  278.750  27.94466     1.119  9.93426E-01  4.00000E-04  6.17410E-03  1.08250E+02  1.85270E+02
 8.67370E+04  277.450  27.94857     1.329  9.93817E-01  4.00000E-04  5.78280E-03  1.11170E+02  1.87120E+02
 8.45640E+04  276.120  27.95201     1.541  9.94161E-01  4.00000E-04  5.43940E-03  1.14010E+02  1.89010E+02
 8.24160E+04  274.760  27.95577     1.754  9.94537E-01  4.00000E-04  5.06320E-03  1.16770E+02  1.90940E+02
 8.02950E+04  273.360  27.95990     1.970  9.94950E-01  4.00000E-04  4.64980E-03  1.19430E+02  1.92880E+02
 7.82010E+04  272.010  27.96377     2.187  9.95337E-01  4.00000E-04  4.26310E-03  1.22060E+02  1.94830E+02
 7.61360E+04  270.660  27.96729     2.406  9.95689E-01  4.00000E-04  3.91140E-03  1.24770E+02  1.96800E+02
 7.41000E+04  269.260  27.97067     2.626  9.96027E-01  4.00000E-04  3.57270E-03  1.27600E+02  1.98770E+02
 7.20930E+04  267.820  27.97392     2.849  9.96352E-01  4.00000E-04  3.24800E-03  1.30560E+02  2.00740E+02
 7.01150E+04  266.330  27.97702     3.072  9.96662E-01  4.00000E-04  2.93810E-03  1.33670E+02  2.02680E+02
 6.81690E+04  264.790  27.97996     3.298  9.96956E-01  4.00000E-04  2.64370E-03  1.36960E+02  2.04600E+02
 6.62540E+04  263.200  27.98274     3.524  9.97234E-01  4.00000E-04  2.36550E-03  1.40440E+02  2.06470E+02
 6.43700E+04  261.560  27.98536     3.753  9.97496E-01  4.00000E-04  2.10420E-03  1.44120E+02  2.08290E+02
 6.25180E+04  259.870  27.98780     3.982  9.97740E-01  4.00000E-04  1.86020E-03  1.47980E+02  2.10070E+02
 6.06980E+04  258.130  27.99006     4.213  9.97966E-01  4.00000E-04  1.63390E-03  1.52000E+02  2.11810E+02
 5.89110E+04  256.340  27.99214     4.444  9.98174E-01  4.00000E-04  1.42560E-03  1.56160E+02  2.13510E+02
 5.71560E+04  254.490  27.99405     4.677  9.98365E-01  4.00000E-04  1.23520E-03  1.60400E+02  2.15170E+02
 5.54350E+04  252.590  27.99577     4.911  9.98537E-01  4.00000E-04  1.06270E-03  1.64670E+02  2.16790E+02
 5.37470E+04  250.640  27.99732     5.145  9.98692E-01  4.00000E-04  9.07640E-04  1.68930E+02  2.18370E+02
 5.20920E+04  248.650  27.99870     5.380  9.98830E-01  4.00000E-04  7.69530E-04  1.73160E+02  2.19890E+02
 5.04700E+04  246.610  27.99992     5.616  9.98952E-01  4.00000E-04  6.47630E-04  1.77300E+02  2.21350E+02
 4.88820E+04  244.530  28.00099     5.853  9.99059E-01  4.00000E-04  5.41030E-04  1.81360E+02  2.22750E+02
 4.73280E+04  242.400  28.00191     6.090  9.99151E-01  4.00000E-04  4.48670E-04  1.85320E+02  2.24080E+02
 4.58070E+04  240.250  28.00271     6.328  9.99231E-01  4.00000E-04  3.69390E-04  1.89170E+02  2.25330E+02
 4.43200E+04  238.060  28.00338     6.566  9.99298E-01  4.00000E-04  3.01970E-04  1.92920E+02  2.26500E+02
 4.28660E+04  235.850  28.00395     6.804  9.99355E-01  4.00000E-04  2.45140E-04  1.96580E+02  2.27600E+02
 4.14450E+04  233.610  28.00442     7.042  9.99402E-01  4.00000E-04  1.97670E-04  2.00160E+02  2.28600E+02
 4.00580E+04  231.350  28.00482     7.281  9.99442E-01  4.00000E-04  1.58340E-04  2.03630E+02  2.29520E+02
 3.87030E+04  229.080  28.00514     7.520  9.99474E-01  4.00000E-04  1.26020E-04  2.06970E+02  2.30340E+02
 3.73820E+04  226.800  28.00540     7.759  9.99500E-01  4.00000E-04  9.96790E-05  2.10130E+02  2.31070E+02
 3.60930E+04  224.510  28.00562     7.997  9.99522E-01  4.00000E-04  7.83610E-05  2.13090E+02  2.31710E+02
 3.48360E+04  222.220  28.00579     8.236  9.99539E-01  4.00000E-04  6.12340E-05  2.15870E+02  2.32280E+02
 3.36110E+04  219.920  28.00592     8.475  9.99552E-01  4.00000E-04  4.75690E-05  2.18470E+02  2.32790E+02
 3.24190E+04  217.620  28.00603     8.713  9.99563E-01  4.00000E-04  3.67380E-05  2.20900E+02  2.33230E+02
 3.12570E+04  215.320  28.00612     8.951  9.99572E-01  4.00000E-04  2.82090E-05  2.23170E+02  2.33610E+02
 3.01270E+04  213.030  28.00619     9.189  9.99578E-01  4.00000E-04  2.15360E-05  2.25260E+02  2.33930E+02
 2.90280E+04  210.740  28.00624     9.427  9.99584E-01  4.00000E-04  1.63450E-05  2.27140E+02  2.34210E+02
 2.79590E+04  208.450  28.00628     9.664  9.99588E-01  4.00000E-04  1.23330E-05  2.28820E+02  2.34440E+02
 2.69200E+04  206.170  28.00631     9.901  9.99591E-01  4.00000E-04  9.25100E-06  2.30300E+02  2.34640E+02
 2.59110E+04  203.900  28.00633    10.137  9.99593E-01  4.00000E-04  6.89730E-06  2.31570E+02  2.34800E+02
 2.49310E+04  201.630  28.00635    10.373  9.99595E-01  4.00000E-04  5.11090E-06  2.32650E+02  2.34940E+02
 2.39800E+04  199.370  28.00636    10.608  9.99596E-01  4.00000E-04  3.76340E-06  2.33530E+02  2.35050E+02
 2.30570E+04  197.110  28.00637    10.843  9.99597E-01  4.00000E-04  2.75350E-06  2.34230E+02  2.35150E+02
 2.21610E+04  194.870  28.00638    11.078  9.99598E-01  4.00000E-04  2.00140E-06  2.34780E+02  2.35240E+02
 2.12940E+04  192.630  28.00639    11.311  9.99599E-01  4.00000E-04  1.44490E-06  2.35180E+02  2.35310E+02
 2.04530E+04  190.400  28.00639    11.544  9.99599E-01  4.00000E-04  1.03590E-06  2.35470E+02  2.35380E+02
 1.96380E+04  188.170  28.00639    11.776  9.99599E-01  4.00000E-04  7.37480E-07  2.35660E+02  2.35430E+02
 1.88490E+04  185.960  28.00639    12.008  9.99599E-01  4.00000E-04  5.21210E-07  2.35750E+02  2.35480E+02
 1.80860E+04  184.540  28.00640    12.239  9.99600E-01  4.00000E-04  4.21420E-07  2.35790E+02  2.35530E+02
 1.73480E+04  183.340  28.00640    12.471  9.99600E-01  4.00000E-04  3.53730E-07  2.35840E+02  2.35580E+02
 1.66340E+04  182.370  28.00640    12.703  9.99600E-01  4.00000E-04  3.08320E-07  2.35880E+02  2.35620E+02
 1.59440E+04  181.480  28.00640    12.935  9.99600E-01  4.00000E-04  2.72770E-07  2.35930E+02  2.35660E+02
 1.52770E+04  180.720  28.00640    13.169  9.99600E-01  4.00000E-04  2.47230E-07  2.35970E+02  2.35700E+02
 1.46330E+04  180.010  28.00640    13.404  9.99600E-01  4.00000E-04  2.25800E-07  2.36010E+02  2.35740E+02
 1.40110E+04  179.410  28.00640    13.639  9.99600E-01  4.00000E-04  2.10160E-07  2.36050E+02  2.35780E+02
 1.34110E+04  178.820  28.00640    13.876  9.99600E-01  4.00000E-04  1.96380E-07  2.36080E+02  2.35820E+02
 1.28330E+04  178.320  28.00640    14.114  9.99600E-01  4.00000E-04  1.86460E-07  2.36120E+02  2.35860E+02
 1.22750E+04  177.830  28.00640    14.353  9.99600E-01  4.00000E-04  1.77250E-07  2.36160E+02  2.35900E+02
 1.17370E+04  177.410  28.00640    14.594  9.99600E-01  4.00000E-04  1.70800E-07  2.36210E+02  2.35940E+02
 1.12190E+04  176.980  28.00640    14.835  9.99600E-01  4.00000E-04  1.64300E-07  2.36250E+02  2.35980E+02
