# Model name = EOS
# Diameter: 12742                # Diameter of the planet [km]
# Gravity: 9.81                  # Gravity at the surface of the atmosphere [m/s2]
# Star-distance: 1               # Planet-star distance [au]
# Star-type: Sun                 # Host-star type
# Star-temperature: 5777         # Host-star temperature [K]
# Wavelength-min: 0.29           # Minimum wavelength [um]
# Wavelength-max: 200.0          # Maximum wavelength [um]
# Radiance-unit: W/m^2           # Radiation output unit
# Surface-temperature: 288       # Surface temperature [K]
# Surface-albedo: 0.32           # Surface albedo
# Surface-emissivity: 0.9        # Surface emissivity
# Opacity: corrk + continuum     # corrk + continuum, other ? 
# Line opacities = H2O, CO2, N2
# CIA opacities = H2O-H2O, H2O-Air, CO2-CO2
# Rayleigh opacities = N2, CO2, H2O
# Outgoing longwave radiation (W/m^2) = 231
# Absorbed stellar radiation (W/m^2) = 240
# Atmosphere-description: Modern Earth
# Atmosphere-columns: P T MMW Alt N2 CO2 H2O OTR ASR
# Atmosphere-layers: 51
#  i        p [Pa]      T [K]        H2O1 vmr    ASR_lay    OLR_lay  OLR_lay(eps)      F_rad     F_conv
#-------------------------------------------------------------------------------------------------------
   0    1.0170e+05    288.000    1.657990e-02    165.154     68.667        90.883     96.487      0.000
   1    8.0940e+04    278.289    1.086614e-02    182.287    112.920       128.682     69.367      0.000
   2    6.4419e+04    268.113    6.206369e-03    197.602    126.291       141.168     71.311      0.000
   3    5.1269e+04    256.908    2.868075e-03    211.810    144.051       158.665     67.759      0.000
   4    4.0804e+04    244.009    1.016986e-03    223.354    164.320       178.872     59.034      0.000
   5    3.2475e+04    230.036    2.767949e-04    231.468    181.605       196.140     49.864      0.000
   6    2.5846e+04    215.972    6.086585e-05    235.536    194.364       208.894     41.171      0.000
   7    2.0570e+04    204.516    1.433523e-05    236.823    197.721       212.250     39.102      0.000
   8    1.6371e+04    200.000    7.798750e-06    237.298    196.934       211.462     40.364      0.000
   9    1.3030e+04    200.000    8.008932e-06    237.714    198.567       213.094     39.147      0.000
  10    1.0370e+04    200.000    8.224782e-06    238.072    200.263       214.791     37.809      0.000
  11    8.2531e+03    200.000    8.259644e-06    238.382    201.852       216.380     36.530      0.000
  12    6.5684e+03    200.000    8.259644e-06    238.665    203.451       217.977     35.214      0.000
  13    5.2277e+03    200.000    8.259644e-06    238.920    205.018       219.545     33.902      0.000
  14    4.1606e+03    200.000    8.259644e-06    239.149    206.530       221.056     32.619      0.000
  15    3.3113e+03    200.000    8.259644e-06    239.351    207.962       222.488     31.390      0.000
  16    2.6354e+03    200.000    8.259644e-06    239.527    209.295       223.822     30.232      0.000
  17    2.0974e+03    200.000    8.259644e-06    239.681    210.514       225.042     29.167      0.000
  18    1.6693e+03    200.000    8.259644e-06    239.813    211.593       226.120     28.221      0.000
  19    1.3286e+03    200.000    8.259644e-06    239.924    212.493       227.019     27.431      0.000
  20    1.0574e+03    200.000    8.259644e-06    240.010    213.181       227.708     26.829      0.000
  21    8.4153e+02    200.000    8.259644e-06    240.075    213.690       228.216     26.385      0.000
  22    6.6975e+02    200.000    8.259644e-06    240.135    214.144       228.670     25.991      0.000
  23    5.3304e+02    200.000    8.259644e-06    240.188    214.546       229.073     25.642      0.000
  24    4.2423e+02    200.000    8.259644e-06    240.236    214.898       229.426     25.338      0.000
  25    3.3764e+02    200.000    8.259644e-06    240.279    215.201       229.729     25.077      0.000
  26    2.6872e+02    200.000    8.259644e-06    240.316    215.454       229.981     24.862      0.000
  27    2.1387e+02    200.000    8.259644e-06    240.346    215.658       230.185     24.689      0.000
  28    1.7021e+02    200.000    8.259644e-06    240.372    215.823       230.349     24.549      0.000
  29    1.3547e+02    200.000    8.259644e-06    240.392    215.955       230.482     24.437      0.000
  30    1.0781e+02    200.000    8.259644e-06    240.407    216.058       230.584     24.349      0.000
  31    8.5807e+01    200.000    8.259644e-06    240.416    216.132       230.660     24.284      0.000
  32    6.8291e+01    200.000    8.259644e-06    240.424    216.199       230.727     24.225      0.000
  33    5.4351e+01    200.000    8.259644e-06    240.431    216.258       230.785     24.173      0.000
  34    4.3257e+01    200.000    8.259644e-06    240.436    216.308       230.835     24.128      0.000
  35    3.4427e+01    200.000    8.259644e-06    240.441    216.352       230.880     24.089      0.000
