# Model name = EOS
# Diameter: 12742                # Diameter of the planet [km]
# Gravity: 9.81                  # Gravity at the surface of the atmosphere [m/s2]
# Star-distance: 1               # Planet-star distance [au]
# Star-type: Sun                 # Host-star type
# Star-temperature: 5777         # Host-star temperature [K]
# Wavelength-min: 0.29           # Minimum wavelength [um]
# Wavelength-max: 200.0          # Maximum wavelength [um]
# Radiance-unit: W/m^2           # Radiation output unit
# Surface-temperature: 288       # Surface temperature [K]
# Surface-albedo: 0.32           # Surface albedo
# Surface-emissivity: 0.9        # Surface emissivity
# Opacity: corrk + continuum     # corrk + continuum, other ? 
# Line opacities = H2O, CO2, N2
# CIA opacities = H2O-H2O, H2O-Air, CO2-CO2
# Rayleigh opacities = N2, CO2, H2O
# Outgoing longwave radiation (W/m^2) = 231
# Absorbed stellar radiation (W/m^2) = 240
# Atmosphere-description: Modern Earth
# Atmosphere-columns: P T MMW Alt N2 CO2 H2O OTR ASR
# Atmosphere-layers: 51
#  i        p [Pa]      T [K]        H2O1 vmr    ASR_lay    OLR_lay      F_rad     F_conv
#---------------------------------------------------------------------------------------
   0    1.0350e+05    300.229    3.461064e-02    165.807     77.467     88.340     88.410
   1    8.1965e+04    292.295    2.701144e-02    194.926    118.314     76.612     76.694
   2    6.4911e+04    284.056    2.007380e-02    206.368    134.812     71.556     71.644
   3    5.1405e+04    275.475    1.404576e-02    216.566    147.407     69.159     69.250
   4    4.0709e+04    266.630    8.646884e-03    225.565    158.656     66.909     67.004
   5    3.2239e+04    256.994    4.597984e-03    236.237    176.048     60.189     60.287
   6    2.5531e+04    245.794    1.952578e-03    244.950    197.721     47.229     47.333
   7    2.0219e+04    232.991    6.223071e-04    250.274    217.879     32.395     32.500
   8    1.6012e+04    219.246    1.503514e-04    251.650    234.479     17.171     17.277
   9    1.2680e+04    205.505    2.915741e-05    251.053    245.201      5.852      5.958
  10    1.0042e+04    192.354    4.764397e-06    250.162    249.283      0.879      0.984
  11    7.9526e+03    181.779    9.437001e-07    249.508    249.613     -0.105      0.000
  12    6.2979e+03    175.652    3.697543e-07    249.301    249.406     -0.105      0.000
  13    4.9875e+03    172.024    2.234109e-07    249.394    249.499     -0.105      0.000
  14    3.9498e+03    168.970    4.940060e-08    249.481    249.586     -0.105      0.000
  15    3.1280e+03    166.215    9.466991e-09    249.587    249.692     -0.105      0.000
  16    2.4771e+03    163.402    2.594199e-09    249.684    249.789     -0.105      0.000
  17    1.9617e+03    160.666    1.437013e-09    249.771    249.876     -0.105      0.000
  18    1.5536e+03    158.297    1.437013e-09    249.847    249.952     -0.105      0.000
  19    1.2303e+03    156.484    1.437013e-09    249.912    250.017     -0.105      0.000
  20    9.7432e+02    155.231    1.437013e-09    249.961    250.066     -0.105      0.000
  21    7.7160e+02    154.329    1.437013e-09    250.004    250.109     -0.105      0.000
  22    6.1105e+02    153.575    1.437013e-09    250.044    250.149     -0.105      0.000
  23    4.8391e+02    152.930    1.437013e-09    250.080    250.186     -0.105      0.000
  24    3.8323e+02    152.426    1.437013e-09    250.114    250.219     -0.105      0.000
  25    3.0349e+02    152.041    1.437013e-09    250.142    250.247     -0.105      0.000
  26    2.4034e+02    151.606    1.437013e-09    250.168    250.273     -0.105      0.000
  27    1.9034e+02    150.940    1.437013e-09    250.188    250.293     -0.105      0.000
  28    1.5073e+02    150.055    1.437013e-09    250.205    250.310     -0.105      0.000
  29    1.1937e+02    149.215    1.437013e-09    250.216    250.321     -0.105      0.000
  30    9.4533e+01    148.711    1.437013e-09    250.223    250.329     -0.105      0.000
  31    7.4864e+01    148.625    1.437013e-09    250.228    250.333     -0.105      0.000
  32    5.9287e+01    148.864    1.437013e-09    250.233    250.338     -0.105      0.000
  33    4.6951e+01    149.264    1.437013e-09    250.237    250.342     -0.105      0.000
  34    3.7182e+01    149.697    1.437013e-09    250.241    250.346     -0.105      0.000
  35    2.9446e+01    150.165    1.437013e-09    250.244    250.350     -0.105      0.000
  36    2.3319e+01    150.784    1.437013e-09    250.249    250.354     -0.105      0.000
  37    1.8467e+01    151.757    1.437013e-09    250.251    250.357     -0.105      0.000
  38    1.4625e+01    153.336    1.437013e-09    250.254    250.359     -0.105      0.000
  39    1.1582e+01    155.880    1.437013e-09    250.257    250.363     -0.105      0.000
  40    9.1720e+00    158.400    1.437013e-09    250.259    250.364     -0.105      0.000
  41    7.2636e+00    160.031    1.437013e-09    250.262    250.367     -0.105      0.000
  42    5.7523e+00    161.375    1.437013e-09    250.264    250.370     -0.105      0.000
  43    4.5554e+00    162.640    1.437013e-09    250.266    250.371     -0.105      0.000
  44    3.6076e+00    163.819    1.437013e-09    250.267    250.372     -0.105      0.000
  45    2.8570e+00    165.118    1.437013e-09    250.269    250.374     -0.105      0.000
  46    2.2625e+00    167.226    1.437013e-09    250.269    250.375     -0.105      0.000
  47    1.7918e+00    171.664    1.437013e-09    250.270    250.375     -0.105      0.000
  48    1.4190e+00    180.921    1.437013e-09    250.272    250.377     -0.105      0.000
  49    1.1237e+00    196.198    1.437013e-09    250.274    250.379     -0.105      0.000
  50    8.8991e-01    205.267    1.437013e-09    250.277    250.382     -0.105      0.000
