# Model name = EOS
# Diameter: 12742                # Diameter of the planet [km]
# Gravity: 9.81                  # Gravity at the surface of the atmosphere [m/s2]
# Star-distance: 1               # Planet-star distance [au]
# Star-type: Sun                 # Host-star type
# Star-temperature: 5777         # Host-star temperature [K]
# Wavelength-min: 0.29           # Minimum wavelength [um]
# Wavelength-max: 200.0          # Maximum wavelength [um]
# Radiance-unit: W/m^2           # Radiation output unit
# Surface-temperature: 288       # Surface temperature [K]
# Surface-albedo: 0.32           # Surface albedo
# Surface-emissivity: 0.9        # Surface emissivity
# Opacity: corrk + continuum     # corrk + continuum, other ? 
# Line opacities = H2O, CO2, N2
# CIA opacities = H2O-H2O, H2O-Air, CO2-CO2
# Rayleigh opacities = N2, CO2, H2O
# Outgoing longwave radiation (W/m^2) = 231
# Absorbed stellar radiation (W/m^2) = 240
# Atmosphere-description: Modern Earth
# Atmosphere-columns: P T MMW Alt N2 CO2 H2O OTR ASR
# Atmosphere-layers: 51
#  i        p [Pa]      T [K]        H2O1 vmr    ASR_lay    OLR_lay  OLR_lay(eps)      F_rad     F_conv
#-------------------------------------------------------------------------------------------------------
   0    1.0170e+05    288.000    1.657990e-02    175.124     68.252        90.333    106.872      0.000
   1    8.0940e+04    278.289    1.086614e-02    191.075    120.733       135.260     70.342      0.000
   2    6.4419e+04    268.113    6.206369e-03    204.905    143.340       156.618     61.565      0.000
   3    5.1269e+04    256.908    2.868075e-03    217.220    173.016       185.968     44.204      0.000
   4    4.0804e+04    244.009    1.016986e-03    226.640    195.969       208.867     30.670      0.000
   5    3.2475e+04    230.036    2.767949e-04    232.632    213.373       226.254     19.259      0.000
   6    2.5846e+04    215.972    6.086585e-05    235.370    223.887       236.762     11.483      0.000
   7    2.0570e+04    204.516    1.433523e-05    236.248    225.949       238.822     10.298      0.000
   8    1.6371e+04    200.000    7.798750e-06    236.612    225.111       237.983     11.500      0.000
   9    1.3030e+04    200.000    8.008932e-06    236.938    226.235       239.106     10.703      0.000
  10    1.0370e+04    200.000    8.224782e-06    237.226    227.468       240.339      9.759      0.000
  11    8.2531e+03    200.000    8.259644e-06    237.477    228.686       241.557      8.790      0.000
  12    6.5684e+03    200.000    8.259644e-06    237.698    229.915       242.786      7.783      0.000
