# Model name: Exo_k
# Diameter: 12756.2				# Diameter of the planet [km]
# Gravity: 9.81				# Gravity at the surface of the atmosphere [m/s2]
# Star-distance: 1				# Planet-star distance [ua]
# Star-type: Sun				# Host-star type
# Star-temperature: 5770				# Host-star temperature [K]
# Wavelength-min: N/A				# Minimum wavelength [um]
# Wavelength-max: N/A				# Maximum wavelength [um]
# Radiance-unit: W/m^2				# Radiation output unit
# Surface-temperature: 288.0				# Surface temperature [K]
# Surface-albedo: 0.32				# Surface albedo
# Surface-emissivity: 0.9				# Surface emissivity
# Opacity: corrk + continuum				# corrk + continuum
# Line opacities: H2O, CO2
# CIA opacities: H2O-H2O, H2O-N2, CO2-CO2, N2-N2
# Rayleigh opacities: N2, CO2, H2O
# Outgoing thermal radiation - OTR (W/m^2): 241.88521518011274
# Absorbed stellar radiation - ASR (W/m^2): 248.77327585799
# Atmosphere-description: Modern Earth
# Atmosphere-columns: P T MMW Alt vmrN2 vmrCO2 vmrH2O OTR ASR
# units: Pa K g/mol km N/A N/A N/A W/m^2 W/m^2
# Atmosphere-fit-T: N/A
# Atmosphere-fit-N2 N/A
# Atmosphere-fit-CO2: N/A
# Atmosphere-fit-H2O: N/A
# Atmosphere-layers: 201
#   P (Pa)     T (K)   MMW (g/mol)    Alt (km)       N2           CO2            H2O           OTR           ASR
1.01729e+05   288.000     27.86      0.000e+00   9.83002e-01   3.93201e-04   1.66045e-02   5.91970e+01   1.79816e+02
9.82738e+04   286.630     27.87      3.013e-01   9.83876e-01   3.93550e-04   1.57309e-02   6.68828e+01   1.82636e+02
9.49358e+04   285.250     27.88      6.012e-01   9.84731e-01   3.93892e-04   1.48753e-02   7.39104e+01   1.85345e+02
9.17111e+04   283.860     27.88      8.995e-01   9.85567e-01   3.94227e-04   1.40385e-02   8.04311e+01   1.87962e+02
8.85960e+04   282.450     27.89      1.196e+00   9.86384e-01   3.94554e-04   1.32212e-02   8.64774e+01   1.90500e+02
8.55867e+04   281.020     27.90      1.491e+00   9.87181e-01   3.94872e-04   1.24240e-02   9.20711e+01   1.92967e+02
8.26796e+04   279.570     27.91      1.785e+00   9.87957e-01   3.95183e-04   1.16477e-02   9.72382e+01   1.95368e+02
7.98713e+04   278.110     27.91      2.077e+00   9.88711e-01   3.95485e-04   1.08931e-02   1.02038e+02   1.97707e+02
7.71584e+04   276.620     27.92      2.368e+00   9.89443e-01   3.95777e-04   1.01609e-02   1.06504e+02   1.99987e+02
7.45376e+04   275.120     27.93      2.656e+00   9.90152e-01   3.96061e-04   9.45192e-03   1.10730e+02   2.02213e+02
7.20058e+04   273.590     27.94      2.943e+00   9.90837e-01   3.96335e-04   8.76691e-03   1.14787e+02   2.04391e+02
6.95600e+04   272.040     27.94      3.229e+00   9.91497e-01   3.96599e-04   8.10666e-03   1.18755e+02   2.06523e+02
6.71973e+04   270.470     27.95      3.513e+00   9.92131e-01   3.96853e-04   7.47188e-03   1.22706e+02   2.08610e+02
6.49148e+04   268.870     27.95      3.795e+00   9.92740e-01   3.97096e-04   6.86305e-03   1.26688e+02   2.10652e+02
6.27099e+04   267.250     27.96      4.075e+00   9.93322e-01   3.97329e-04   6.28094e-03   1.30754e+02   2.12652e+02
6.05799e+04   265.590     27.96      4.354e+00   9.93876e-01   3.97550e-04   5.72626e-03   1.34911e+02   2.14610e+02
5.85222e+04   263.910     27.97      4.630e+00   9.94403e-01   3.97761e-04   5.19967e-03   1.39183e+02   2.16528e+02
5.65344e+04   262.200     27.97      4.905e+00   9.94900e-01   3.97960e-04   4.70173e-03   1.43557e+02   2.18405e+02
5.46141e+04   260.470     27.98      5.179e+00   9.95369e-01   3.98148e-04   4.23288e-03   1.48023e+02   2.20241e+02
5.27591e+04   258.700     27.98      5.450e+00   9.95808e-01   3.98323e-04   3.79344e-03   1.52528e+02   2.22032e+02
5.09670e+04   256.900     27.99      5.719e+00   9.96218e-01   3.98487e-04   3.38358e-03   1.57025e+02   2.23776e+02
4.92359e+04   255.070     27.99      5.987e+00   9.96598e-01   3.98639e-04   3.00328e-03   1.61464e+02   2.25469e+02
4.75635e+04   253.220     27.99      6.252e+00   9.96949e-01   3.98780e-04   2.65234e-03   1.65809e+02   2.27105e+02
4.59479e+04   251.330     28.00      6.516e+00   9.97271e-01   3.98908e-04   2.33035e-03   1.70012e+02   2.28678e+02
4.43872e+04   249.420     28.00      6.777e+00   9.97564e-01   3.99026e-04   2.03669e-03   1.74060e+02   2.30184e+02
4.28795e+04   247.490     28.00      7.037e+00   9.97830e-01   3.99132e-04   1.77053e-03   1.77953e+02   2.31618e+02
4.14231e+04   245.530     28.01      7.294e+00   9.98070e-01   3.99228e-04   1.53082e-03   1.81690e+02   2.32974e+02
4.00161e+04   243.550     28.01      7.549e+00   9.98284e-01   3.99314e-04   1.31633e-03   1.85288e+02   2.34250e+02
3.86569e+04   241.520     28.01      7.802e+00   9.98475e-01   3.99390e-04   1.12566e-03   1.88733e+02   2.35444e+02
3.73438e+04   239.520     28.01      8.053e+00   9.98643e-01   3.99457e-04   9.57680e-04   1.92079e+02   2.36554e+02
