# Model name: Exo_k
# Diameter: 12756.20				# Diameter of the planet [km]
# Gravity: 9.81					# Gravity at the surface of the atmosphere [m/s2]
# Star-distance: 1				# Planet-star distance [ua]
# Star-type: Sun					# Host-star type
# Star-temperature: 5770.0			# Host-star temperature [K]
# Wavelength-min: N/A				# Minimum wavelength [um]
# Wavelength-max: N/A				# Maximum wavelength [um]
# Radiance-unit: W/m^2				# Radiation output unit
# Surface-temperature: 288.79		# Surface temperature [K]
# Surface-albedo: 0.32				# Surface albedo
# Surface-emissivity: 1				# Surface emissivity
# Opacity: corrk + continuum		# corrk + continuum
# Line opacities: H2O, CO2
# CIA opacities: H2O-H2O, H2O-N2, CO2-CO2, N2-N2
# Rayleigh opacities: N2, CO2, H2O
# Outgoing thermal radiation - OTR (W/m^2): 245.16
# Absorbed stellar radiation - ASR (W/m^2): 244.83
# Atmosphere-description: Modern Earth
# Atmosphere-columns: P T MMW Alt vmrN2 vmrCO2 vmrH2O OTR ASR
# units: Pa K g/mol km N/A N/A N/A W/m^2 W/m^2
# Atmosphere-fit-T: N/A
# Atmosphere-fit-N2 N/A
# Atmosphere-fit-CO2: N/A
# Atmosphere-fit-H2O: N/A
# Atmosphere-layers: 50
#   P (Pa)     T (K)   MMW (g/mol)    Alt (km)       N2           CO2            H2O           OTR           ASR
1.00000e+05   288.792     27.88      3.932e+00   9.99600e+04   4.00000e+01   1.17697e-02   1.01513e+02   1.89903e+02
8.28643e+04   278.222     27.93      1.581e+01   8.28311e+04   3.31457e+01   6.93732e-03   1.25537e+02   2.02937e+02
6.86649e+04   269.446     27.96      3.144e+01   6.86374e+04   2.74660e+01   4.43019e-03   1.48221e+02   2.14112e+02
5.68987e+04   259.704     27.99      4.654e+01   5.68759e+04   2.27595e+01   2.51123e-03   1.73960e+02   2.23861e+02
4.71487e+04   248.866     28.01      6.103e+01   4.71298e+04   1.88595e+01   1.22090e-03   1.97102e+02   2.31373e+02
3.90694e+04   234.980     28.02      7.483e+01   3.90538e+04   1.56278e+01   4.06900e-04   2.13899e+02   2.36534e+02
3.23746e+04   223.524     28.02      8.790e+01   3.23616e+04   1.29498e+01   1.50899e-04   2.27567e+02   2.39666e+02
2.68270e+04   212.315     28.02      1.003e+02   2.68162e+04   1.07308e+01   5.07158e-05   2.36506e+02   2.41284e+02
2.22300e+04   201.508     28.02      1.121e+02   2.22211e+04   8.89199e+00   1.55947e-05   2.41040e+02   2.42094e+02
1.84207e+04   191.543     28.02      1.233e+02   1.84133e+04   7.36828e+00   4.65295e-06   2.42787e+02   2.42498e+02
1.52642e+04   181.856     28.02      1.340e+02   1.52581e+04   6.10567e+00   1.24640e-06   2.43064e+02   2.42740e+02
1.26486e+04   177.916     28.02      1.443e+02   1.26435e+04   5.05942e+00   7.78201e-07   2.43272e+02   2.42943e+02
1.04811e+04   174.141     28.02      1.543e+02   1.04769e+04   4.19245e+00   4.85687e-07   2.43483e+02   2.43151e+02
8.68511e+03   170.751     28.02      1.642e+02   8.68164e+03   3.47405e+00   3.16192e-07   2.43698e+02   2.43365e+02
7.19686e+03   167.859     28.02      1.739e+02   7.19398e+03   2.87874e+00   2.21042e-07   2.43899e+02   2.43565e+02
5.96362e+03   165.288     28.02      1.834e+02   5.96124e+03   2.38545e+00   1.61550e-07   2.44082e+02   2.43747e+02
4.94171e+03   162.922     28.02      1.928e+02   4.93974e+03   1.97669e+00   1.21180e-07   2.44243e+02   2.43908e+02
4.09492e+03   160.753     28.02      2.020e+02   4.09328e+03   1.63797e+00   9.33982e-08   2.44381e+02   2.44046e+02
3.39322e+03   158.823     28.02      2.112e+02   3.39186e+03   1.35729e+00   7.48626e-08   2.44498e+02   2.44163e+02
2.81177e+03   157.172     28.02      2.202e+02   2.81064e+03   1.12471e+00   6.31597e-08   2.44595e+02   2.44260e+02
2.32995e+03   155.834     28.02      2.292e+02   2.32902e+03   9.31981e-01   5.67216e-08   2.44678e+02   2.44343e+02
1.93070e+03   154.806     28.02      2.381e+02   1.92993e+03   7.72279e-01   5.43486e-08   2.44748e+02   2.44413e+02
1.59986e+03   154.030     28.02      2.469e+02   1.59922e+03   6.39943e-01   5.49906e-08   2.44807e+02   2.44472e+02
1.32571e+03   153.480     28.02      2.557e+02   1.32518e+03   5.30285e-01   5.85177e-08   2.44857e+02   2.44522e+02
1.09854e+03   153.128     28.02      2.645e+02   1.09810e+03   4.39416e-01   6.50253e-08   2.44900e+02   2.44565e+02
9.10298e+02   152.956     28.02      2.733e+02   9.09934e+02   3.64119e-01   7.28659e-08   2.44937e+02   2.44602e+02
7.54312e+02   152.923     28.02      2.821e+02   7.54010e+02   3.01725e-01   8.23408e-08   2.44969e+02   2.44634e+02
6.25055e+02   152.940     28.02      2.908e+02   6.24805e+02   2.50022e-01   9.37737e-08   2.44998e+02   2.44663e+02
5.17947e+02   152.999     28.02      2.996e+02   5.17740e+02   2.07179e-01   1.07510e-07   2.45023e+02   2.44688e+02
4.29193e+02   152.994     28.02      3.084e+02   4.29022e+02   1.71677e-01   1.23892e-07   2.45045e+02   2.44710e+02
3.55648e+02   152.791     28.02      3.172e+02   3.55506e+02   1.42259e-01   1.43201e-07   2.45062e+02   2.44727e+02
2.94705e+02   152.348     28.02      3.259e+02   2.94587e+02   1.17882e-01   1.65606e-07   2.45077e+02   2.44742e+02
2.44205e+02   151.739     28.02      3.347e+02   2.44108e+02   9.76821e-02   1.91113e-07   2.45089e+02   2.44754e+02
2.02359e+02   151.092     28.02      3.434e+02   2.02278e+02   8.09436e-02   2.19531e-07   2.45099e+02   2.44764e+02
1.67683e+02   150.554     28.02      3.520e+02   1.67616e+02   6.70733e-02   2.33093e-07   2.45107e+02   2.44772e+02
1.38950e+02   150.300     28.02      3.607e+02   1.38894e+02   5.55798e-02   2.64725e-07   2.45113e+02   2.44778e+02
1.15140e+02   150.449     28.02      3.693e+02   1.15093e+02   4.60558e-02   3.14612e-07   2.45118e+02   2.44783e+02
9.54095e+01   150.957     28.02      3.780e+02   9.53714e+01   3.81638e-02   3.73587e-07   2.45123e+02   2.44788e+02
7.90604e+01   151.626     28.02      3.867e+02   7.90288e+01   3.16242e-02   4.41971e-07   2.45127e+02   2.44792e+02
6.55129e+01   152.233     28.02      3.955e+02   6.54867e+01   2.62051e-02   5.19592e-07   2.45131e+02   2.44796e+02
5.42868e+01   152.655     28.02      4.042e+02   5.42650e+01   2.17147e-02   6.05664e-07   2.45135e+02   2.44800e+02
4.49843e+01   152.909     28.02      4.130e+02   4.49663e+01   1.79937e-02   6.98754e-07   2.45138e+02   2.44803e+02
3.72759e+01   153.076     28.02      4.218e+02   3.72610e+01   1.49104e-02   7.96818e-07   2.45142e+02   2.44807e+02
3.08884e+01   153.255     28.02      4.307e+02   3.08761e+01   1.23554e-02   8.97213e-07   2.45145e+02   2.44810e+02
2.55955e+01   153.603     28.02      4.395e+02   2.55852e+01   1.02382e-02   9.96702e-07   2.45148e+02   2.44813e+02
2.12095e+01   154.122     28.02      4.484e+02   2.12010e+01   8.48380e-03   1.09136e-06   2.45150e+02   2.44815e+02
1.75751e+01   154.928     28.02      4.573e+02   1.75681e+01   7.03004e-03   1.17644e-06   2.45153e+02   2.44818e+02
1.45635e+01   156.495     28.02      4.663e+02   1.45577e+01   5.82539e-03   1.24659e-06   2.45155e+02   2.44820e+02
1.20679e+01   161.250     28.02      4.754e+02   1.20631e+01   4.82717e-03   1.29609e-06   2.45158e+02   2.44823e+02
1.00000e+01   183.835     28.02      4.856e+02   9.99600e+00   4.00000e-03   1.31842e-06   2.45161e+02   2.44826e+02
