# Model name: Exo_k
# Diameter: 14401.75					# Diameter of the planet [km]
# Gravity: 10.15						# Gravity at the surface of the atmosphere [m/s2]
# Star-distance: 0.0468				# Planet-star distance [ua]
# Star-type: TRAPPIST-1					# Host-star type
# Star-temperature: None			# Host-star temperature [K]
# Wavelength-min: N/A				# Minimum wavelength [um]
# Wavelength-max: N/A				# Maximum wavelength [um]
# Radiance-unit: W/m^2				# Radiation output unit
# Surface-temperature: 246.32		# Surface temperature [K]
# Surface-albedo: 0.20				# Surface albedo
# Surface-emissivity: 1				# Surface emissivity
# Opacity: corrk + continuum		# corrk + continuum
# Line opacities: H2O, CO2
# CIA opacities: H2O-H2O, H2O-N2, CO2-CO2, N2-N2
# Rayleigh opacities: N2, CO2, H2O
# Outgoing thermal radiation - OTR (W/m^2): 79.59
# Absorbed stellar radiation - ASR (W/m^2): 79.58
# Atmosphere-description: Modern Earth
# Atmosphere-columns: P T MMW Alt vmrN2 vmrCO2 vmrH2O OTR ASR
# units: Pa K g/mol km N/A N/A N/A W/m^2 W/m^2
# Atmosphere-fit-T: N/A
# Atmosphere-fit-N2 N/A
# Atmosphere-fit-CO2: N/A
# Atmosphere-fit-H2O: N/A
# Atmosphere-layers: 100
#   P (Pa)     T (K)   MMW (g/mol)    Alt (km)       N2           CO2            H2O           OTR           ASR
6.00000e+05   246.317     43.83      1.243e+00   1.00000e+05   5.00000e+05   6.98122e-05   8.86822e+00   2.86158e+01
5.36892e+05   240.682     43.83      4.986e+00   8.94820e+04   4.47410e+05   5.07896e-05   1.09060e+01   3.09780e+01
4.80422e+05   235.105     43.83      9.927e+00   8.00703e+04   4.00352e+05   3.63662e-05   1.31009e+01   3.31808e+01
4.29891e+05   229.705     43.83      1.475e+01   7.16486e+04   3.58243e+05   2.58740e-05   1.61375e+01   3.52982e+01
3.84676e+05   224.427     43.83      1.947e+01   6.41126e+04   3.20563e+05   1.82095e-05   1.99068e+01   3.73158e+01
3.44216e+05   219.265     43.83      2.408e+01   5.73693e+04   2.86846e+05   1.26713e-05   2.38271e+01   3.91773e+01
3.08011e+05   214.218     43.83      2.858e+01   5.13352e+04   2.56676e+05   8.71662e-06   2.72710e+01   4.08432e+01
2.75615e+05   209.235     43.83      3.298e+01   4.59358e+04   2.29679e+05   5.92546e-06   2.94631e+01   4.23017e+01
2.46626e+05   204.793     43.83      3.729e+01   4.11043e+04   2.05521e+05   4.12710e-06   3.01286e+01   4.36043e+01
2.20686e+05   203.297     43.83      4.153e+01   3.67809e+04   1.83905e+05   3.92044e-06   3.17169e+01   4.48417e+01
1.97474e+05   201.823     43.84      4.574e+01   3.29123e+04   1.64562e+05   3.72469e-06   3.37243e+01   4.60575e+01
1.76704e+05   200.370     43.84      4.992e+01   2.94506e+04   1.47253e+05   3.53866e-06   3.59158e+01   4.72554e+01
1.58118e+05   198.937     43.84      5.407e+01   2.63530e+04   1.31765e+05   3.36182e-06   3.81931e+01   4.84389e+01
1.41487e+05   197.525     43.85      5.819e+01   2.35812e+04   1.17906e+05   3.19374e-06   4.04879e+01   4.96109e+01
1.26606e+05   196.132     43.85      6.228e+01   2.11009e+04   1.05505e+05   3.03398e-06   4.27642e+01   5.07755e+01
1.13289e+05   194.759     43.86      6.635e+01   1.88816e+04   9.44078e+04   2.88215e-06   4.50082e+01   5.19368e+01
1.01374e+05   193.404     43.86      7.038e+01   1.68956e+04   8.44780e+04   2.73784e-06   4.72122e+01   5.30912e+01
9.07111e+04   192.068     43.86      7.439e+01   1.51185e+04   7.55926e+04   2.60069e-06   4.93424e+01   5.42185e+01
8.11702e+04   190.750     43.87      7.837e+01   1.35284e+04   6.76418e+04   2.47035e-06   5.13589e+01   5.53029e+01
7.26327e+04   189.450     43.87      8.232e+01   1.21055e+04   6.05273e+04   2.34649e-06   5.32514e+01   5.63432e+01
6.49932e+04   188.167     43.88      8.625e+01   1.08322e+04   5.41610e+04   2.22879e-06   5.50109e+01   5.73381e+01
5.81573e+04   186.901     43.88      9.015e+01   9.69288e+03   4.84644e+04   2.11684e-06   5.66291e+01   5.82873e+01
5.20403e+04   185.651     43.88      9.402e+01   8.67338e+03   4.33669e+04   2.01031e-06   5.80991e+01   5.91909e+01
4.65667e+04   184.418     43.89      9.787e+01   7.76112e+03   3.88056e+04   1.90934e-06   5.94161e+01   6.00508e+01
4.16689e+04   183.202     43.89      1.017e+02   6.94481e+03   3.47240e+04   1.81342e-06   6.05762e+01   6.08700e+01
3.72861e+04   181.997     43.89      1.055e+02   6.21436e+03   3.10718e+04   1.72124e-06   6.15749e+01   6.16532e+01
3.33644e+04   180.811     43.89      1.093e+02   5.56073e+03   2.78037e+04   1.63447e-06   6.24131e+01   6.24059e+01
2.98551e+04   179.907     43.89      1.130e+02   4.97586e+03   2.48793e+04   1.61122e-06   6.31417e+01   6.31342e+01
2.67150e+04   179.628     43.89      1.167e+02   4.45250e+03   2.22625e+04   1.61298e-06   6.38499e+01   6.38425e+01
2.39051e+04   179.503     43.89      1.205e+02   3.98419e+03   1.99209e+04   1.61298e-06   6.45390e+01   6.45316e+01
2.13908e+04   179.499     43.89      1.242e+02   3.56513e+03   1.78257e+04   1.61299e-06   6.52078e+01   6.52004e+01
1.91409e+04   179.561     43.89      1.280e+02   3.19015e+03   1.59508e+04   1.61299e-06   6.58547e+01   6.58473e+01
1.71277e+04   179.652     43.89      1.317e+02   2.85461e+03   1.42731e+04   1.61299e-06   6.64780e+01   6.64706e+01
1.53262e+04   179.744     43.89      1.354e+02   2.55436e+03   1.27718e+04   1.61299e-06   6.70766e+01   6.70691e+01
1.37142e+04   179.819     43.89      1.392e+02   2.28570e+03   1.14285e+04   1.61299e-06   6.76502e+01   6.76428e+01
1.22717e+04   179.870     43.89      1.429e+02   2.04529e+03   1.02264e+04   1.61299e-06   6.81998e+01   6.81923e+01
1.09810e+04   179.900     43.89      1.467e+02   1.83017e+03   9.15083e+03   1.61299e-06   6.87269e+01   6.87195e+01
9.82602e+03   179.931     43.89      1.504e+02   1.63767e+03   8.18835e+03   1.61299e-06   6.92304e+01   6.92229e+01
8.79252e+03   179.990     43.89      1.542e+02   1.46542e+03   7.32710e+03   1.61299e-06   6.97065e+01   6.96990e+01
7.86773e+03   180.066     43.89      1.579e+02   1.31129e+03   6.55644e+03   1.61299e-06   7.01563e+01   7.01488e+01
7.04020e+03   180.139     43.89      1.617e+02   1.17337e+03   5.86683e+03   1.61299e-06   7.05838e+01   7.05764e+01
6.29972e+03   180.187     43.89      1.654e+02   1.04995e+03   5.24976e+03   1.61299e-06   7.09933e+01   7.09858e+01
5.63711e+03   180.181     43.89      1.692e+02   9.39519e+02   4.69759e+03   1.61299e-06   7.13883e+01   7.13809e+01
5.04420e+03   180.097     43.89      1.729e+02   8.40701e+02   4.20350e+03   1.61299e-06   7.17715e+01   7.17641e+01
4.51366e+03   179.915     43.89      1.767e+02   7.52276e+02   3.76138e+03   1.61299e-06   7.21441e+01   7.21366e+01
4.03891e+03   179.630     43.89      1.804e+02   6.73152e+02   3.36576e+03   1.61299e-06   7.25062e+01   7.24987e+01
3.61410e+03   179.248     43.89      1.841e+02   6.02350e+02   3.01175e+03   1.61299e-06   7.28571e+01   7.28496e+01
3.23397e+03   178.785     43.89      1.879e+02   5.38995e+02   2.69498e+03   1.61299e-06   7.31958e+01   7.31884e+01
2.89382e+03   178.260     43.89      1.916e+02   4.82304e+02   2.41152e+03   1.61299e-06   7.35212e+01   7.35138e+01
2.58945e+03   177.691     43.89      1.953e+02   4.31575e+02   2.15788e+03   1.61299e-06   7.38324e+01   7.38249e+01
2.31709e+03   177.096     43.89      1.990e+02   3.86182e+02   1.93091e+03   1.61299e-06   7.41285e+01   7.41211e+01
2.07338e+03   176.486     43.89      2.027e+02   3.45564e+02   1.72782e+03   1.61299e-06   7.44091e+01   7.44016e+01
1.85530e+03   175.871     43.89      2.064e+02   3.09217e+02   1.54609e+03   1.61300e-06   7.46737e+01   7.46663e+01
1.66016e+03   175.260     43.89      2.100e+02   2.76694e+02   1.38347e+03   1.61300e-06   7.49227e+01   7.49153e+01
1.48555e+03   174.666     43.89      2.137e+02   2.47591e+02   1.23796e+03   1.61300e-06   7.51570e+01   7.51495e+01
1.32930e+03   174.103     43.89      2.173e+02   2.21550e+02   1.10775e+03   1.61300e-06   7.53781e+01   7.53707e+01
1.18948e+03   173.581     43.89      2.209e+02   1.98247e+02   9.91237e+02   1.61300e-06   7.55884e+01   7.55809e+01
1.06437e+03   173.104     43.89      2.246e+02   1.77396e+02   8.86979e+02   1.61300e-06   7.57898e+01   7.57823e+01
9.52424e+02   172.682     43.89      2.282e+02   1.58737e+02   7.93687e+02   1.61300e-06   7.59839e+01   7.59764e+01
8.52248e+02   172.309     43.89      2.318e+02   1.42041e+02   7.10207e+02   1.61300e-06   7.61713e+01   7.61638e+01
7.62609e+02   171.947     43.89      2.354e+02   1.27102e+02   6.35508e+02   1.61300e-06   7.63522e+01   7.63447e+01
6.82398e+02   171.576     43.89      2.389e+02   1.13733e+02   5.68665e+02   1.61301e-06   7.65264e+01   7.65190e+01
6.10624e+02   171.186     43.89      2.425e+02   1.01771e+02   5.08853e+02   1.61301e-06   7.66939e+01   7.66865e+01
5.46399e+02   170.769     43.89      2.461e+02   9.10664e+01   4.55332e+02   1.61301e-06   7.68547e+01   7.68472e+01
4.88929e+02   170.318     43.89      2.496e+02   8.14881e+01   4.07440e+02   1.61301e-06   7.70090e+01   7.70016e+01
4.37503e+02   169.825     43.89      2.532e+02   7.29172e+01   3.64586e+02   1.61301e-06   7.71572e+01   7.71498e+01
3.91487e+02   169.279     43.89      2.567e+02   6.52478e+01   3.26239e+02   1.61301e-06   7.72996e+01   7.72922e+01
3.50310e+02   168.671     43.89      2.603e+02   5.83851e+01   2.91925e+02   1.61301e-06   7.74363e+01   7.74288e+01
3.13465e+02   167.991     43.89      2.638e+02   5.22441e+01   2.61221e+02   1.61302e-06   7.75672e+01   7.75597e+01
2.80495e+02   167.236     43.89      2.673e+02   4.67491e+01   2.33746e+02   1.61302e-06   7.76921e+01   7.76847e+01
2.50992e+02   166.409     43.89      2.708e+02   4.18321e+01   2.09160e+02   1.61302e-06   7.78109e+01   7.78035e+01
2.24593e+02   165.518     43.89      2.742e+02   3.74322e+01   1.87161e+02   1.61302e-06   7.79233e+01   7.79159e+01
2.00970e+02   164.579     43.89      2.777e+02   3.34951e+01   1.67475e+02   1.61302e-06   7.80291e+01   7.80216e+01
1.79832e+02   163.612     43.89      2.811e+02   2.99721e+01   1.49860e+02   1.61302e-06   7.81282e+01   7.81208e+01
1.60918e+02   162.640     43.89      2.845e+02   2.68196e+01   1.34098e+02   1.61302e-06   7.82208e+01   7.82134e+01
1.43992e+02   161.684     43.89      2.879e+02   2.39987e+01   1.19994e+02   1.61303e-06   7.83071e+01   7.82996e+01
1.28847e+02   160.766     43.89      2.913e+02   2.14746e+01   1.07373e+02   1.61303e-06   7.83872e+01   7.83798e+01
1.15295e+02   159.903     43.89      2.946e+02   1.92159e+01   9.60794e+01   1.61303e-06   7.84617e+01   7.84543e+01
1.03169e+02   159.113     43.89      2.980e+02   1.71948e+01   8.59738e+01   1.61303e-06   7.85308e+01   7.85233e+01
9.23173e+01   158.419     43.89      3.013e+02   1.53862e+01   7.69311e+01   1.61303e-06   7.85951e+01   7.85877e+01
8.26074e+01   157.833     43.89      3.046e+02   1.37679e+01   6.88395e+01   1.61303e-06   7.86554e+01   7.86479e+01
7.39188e+01   157.352     43.89      3.079e+02   1.23198e+01   6.15990e+01   1.61303e-06   7.87119e+01   7.87044e+01
6.61440e+01   156.984     43.89      3.112e+02   1.10240e+01   5.51200e+01   1.61304e-06   7.87652e+01   7.87578e+01
5.91870e+01   156.737     43.89      3.144e+02   9.86450e+00   4.93225e+01   1.61304e-06   7.88159e+01   7.88084e+01
5.29617e+01   156.613     43.89      3.177e+02   8.82696e+00   4.41348e+01   1.61304e-06   7.88644e+01   7.88570e+01
4.73912e+01   156.609     43.89      3.210e+02   7.89854e+00   3.94927e+01   1.61304e-06   7.89114e+01   7.89039e+01
4.24067e+01   156.712     43.89      3.243e+02   7.06778e+00   3.53389e+01   1.61304e-06   7.89570e+01   7.89496e+01
3.79463e+01   156.908     43.89      3.276e+02   6.32439e+00   3.16219e+01   1.61304e-06   7.90016e+01   7.89941e+01
3.39552e+01   157.179     43.89      3.308e+02   5.65919e+00   2.82960e+01   1.61304e-06   7.90451e+01   7.90377e+01
3.03838e+01   157.510     43.89      3.341e+02   5.06396e+00   2.53198e+01   1.61304e-06   7.90876e+01   7.90801e+01
2.71880e+01   157.882     43.89      3.374e+02   4.53133e+00   2.26567e+01   1.61305e-06   7.91289e+01   7.91215e+01
2.43284e+01   158.284     43.89      3.407e+02   4.05473e+00   2.02737e+01   1.61305e-06   7.91693e+01   7.91619e+01
2.17695e+01   158.724     43.89      3.441e+02   3.62826e+00   1.81413e+01   1.61305e-06   7.92089e+01   7.92015e+01
1.94798e+01   159.237     43.89      3.474e+02   3.24664e+00   1.62332e+01   1.61305e-06   7.92484e+01   7.92409e+01
1.74309e+01   159.857     43.89      3.507e+02   2.90516e+00   1.45258e+01   1.61305e-06   7.92885e+01   7.92811e+01
1.55976e+01   160.550     43.89      3.541e+02   2.59959e+00   1.29980e+01   1.61305e-06   7.93305e+01   7.93230e+01
