#  Model name = Modern Earth(no ozone), G-PCM
#  Diameter: 12800                # Diameter of the planet [km]
#  Gravity: 9.81                  # Gravity at the surface of the atmosphere [m/s2]
#  Star-distance: 1               # Planet-star distance [au]
#  Star-type: Sun                 # Host-star type
#  Star-temperature: 5800         # Host-star temperature [K]
#  Insolation: 1366.0             # Insolation [W.m-2]
#  Wavelength-min: 0.2857         # Minimum wavelength [um]
#  Wavelength-max: 1000.0         # Maximum wavelength [um]
#  Surface-temperature: 300       # Surface temperature [K]
#  Surface-albedo: 0.32           # Surface albedo
#  Surface-emissivity: 0.9        # Surface emissivity
#  Opacity:corr.-k, earth         # corrk + continuum
#  Line opacities = H2O, CO2
#  CIA opacities = H2O-H2O, H2O-N2, CO2-CO2, N2-N2, N2-CO2
#  Rayleigh opacities = N2, CO2, H2O
#  Outgoing longwave radiation (W/m^2) = 241.6
#  Absorbed stellar radiation (W/m^2) = 242.6
#  Atmosphere-description: Modern Earth
#  Atmosphere-columns: P T MMW Alt N2 CO2 H2O OTR ASR
#  Atmosphere-layers: 29
#    P (Pa)   T (K)   MMW (g/mol)  Alt (km)    N2          CO2          H2O          OLR           ASR
 1.22107e+05  300.599  27.71845     0.005  9.70835e-01  3.88334e-04  2.87764e-02  4.25224e+01  1.66626e+02
 1.21886e+05  300.430  27.72167     0.020  9.71157e-01  3.88463e-04  2.84542e-02  4.30576e+01  1.66796e+02
 1.21438e+05  300.166  27.72408     0.049  9.71398e-01  3.88559e-04  2.82136e-02  4.39322e+01  1.67076e+02
 1.20420e+05  299.596  27.72859     0.117  9.71849e-01  3.88739e-04  2.77626e-02  4.61485e+01  1.67713e+02
 1.18385e+05  298.401  27.74087     0.253  9.73075e-01  3.89230e-04  2.65358e-02  5.14700e+01  1.69179e+02
 1.14641e+05  295.626  27.77899     0.510  9.76883e-01  3.90753e-04  2.27262e-02  6.06931e+01  1.71882e+02
 1.07974e+05  290.868  27.82248     0.990  9.81228e-01  3.92491e-04  1.83797e-02  7.62247e+01  1.76613e+02
 9.69504e+04  282.195  27.88865     1.851  9.87837e-01  3.95135e-04  1.17675e-02  9.69803e+01  1.84193e+02
 8.08740e+04  268.827  27.95602     3.302  9.94567e-01  3.97827e-04  5.03485e-03  1.28206e+02  1.96616e+02
 6.09468e+04  251.856  27.99215     5.565  9.98177e-01  3.99271e-04  1.42356e-03  1.58645e+02  2.12714e+02
 4.14253e+04  226.487  28.00506     8.654  9.99467e-01  3.99787e-04  1.33319e-04  2.01745e+02  2.31599e+02
 2.67750e+04  201.824  28.00633    12.145  9.99593e-01  3.99837e-04  6.93524e-06  2.32122e+02  2.39204e+02
 1.73059e+04  180.890  28.00639    15.636  9.99600e-01  3.99840e-04  2.73545e-07  2.39619e+02  2.40588e+02
 1.11856e+04  172.119  28.00640    19.128  9.99600e-01  3.99840e-04  6.95143e-08  2.40105e+02  2.41068e+02
 7.22974e+03  164.986  28.00640    22.619  9.99600e-01  3.99840e-04  2.15356e-08  2.40482e+02  2.41450e+02
 4.67290e+03  159.208  28.00640    26.110  9.99600e-01  3.99840e-04  8.10757e-09  2.40782e+02  2.41754e+02
 3.02031e+03  155.197  28.00640    29.602  9.99600e-01  3.99840e-04  4.40072e-09  2.40995e+02  2.41970e+02
 1.95216e+03  152.849  28.00640    33.093  9.99600e-01  3.99840e-04  3.58515e-09  2.41151e+02  2.42127e+02
 1.26177e+03  151.674  28.00640    36.585  9.99600e-01  3.99840e-04  3.98671e-09  2.41268e+02  2.42246e+02
 8.00011e+02  151.418  28.00640    40.230  9.99600e-01  3.99840e-04  5.83094e-09  2.41357e+02  2.42335e+02
 4.73792e+02  151.522  28.00640    44.421  9.99600e-01  3.99840e-04  1.01009e-08  2.41429e+02  2.42408e+02
 2.59679e+02  151.361  28.00640    49.231  9.99600e-01  3.99840e-04  1.75712e-08  2.41488e+02  2.42468e+02
 1.38996e+02  150.785  28.00640    54.231  9.99600e-01  3.99840e-04  2.78439e-08  2.41526e+02  2.42507e+02
 7.43992e+01  150.864  28.00640    59.231  9.99600e-01  3.99840e-04  5.30877e-08  2.41548e+02  2.42529e+02
 3.98230e+01  151.675  28.00640    64.231  9.99600e-01  3.99840e-04  1.24361e-07  2.41561e+02  2.42541e+02
 2.01116e+01  153.627  28.00639    69.696  9.99600e-01  3.99840e-04  3.11063e-07  2.41568e+02  2.42549e+02
 8.01170e+00  156.081  28.00639    77.059  9.99599e-01  3.99839e-04  8.09870e-07  2.41574e+02  2.42555e+02
 2.29539e+00  158.369  28.00637    87.059  9.99597e-01  3.99839e-04  2.78203e-06  2.41579e+02  2.42560e+02
 6.57640e-01  158.910  28.00634    97.059  9.99594e-01  3.99837e-04  6.01432e-06  2.41582e+02  2.42563e+02
