#  Model name = TRAPPIST-1g(5 bar CO2), G-PCM
#  Diameter: 14451.2              # Diameter of the planet [km]
#  Gravity: 10.15                 # Gravity at the surface of the atmosphere [m/s2]
#  Star-distance: 0.04683         # Planet-star distance [au]
#  Star-type: Sun                 # Host-star type
#  Star-temperature: 2550         # Host-star temperature [K]
#  Insolation: 344.2              # Insolation [W.m-2]
#  Wavelength-min: 0.2857         # Minimum wavelength [um]
#  Wavelength-max: 1000.0         # Maximum wavelength [um]
#  Surface-temperature: 214       # Surface temperature [K]
#  Surface-albedo: 0.20           # Surface albedo
#  Surface-emissivity: 0.9        # Surface emissivity
#  Opacity:corr.-k, earth         # corrk + continuum
#  Line opacities = H2O, CO2
#  CIA opacities = H2O-H2O, H2O-N2, CO2-CO2, N2-N2, N2-CO2
#  Rayleigh opacities = N2, CO2, H2O
#  Outgoing longwave radiation (W/m^2) = 75.7
#  Absorbed stellar radiation (W/m^2) = 75.7
#  Atmosphere-description: TRAPPIST-1g 5 bar CO2
#  Atmosphere-columns: P T MMW Alt N2 CO2 H2O OTR ASR
#  Atmosphere-layers: 29
#    P (Pa)   T (K)   MMW (g/mol)  Alt (km)    N2          CO2          H2O          OLR           ASR
 5.98148e+05  214.748  28.00638     0.005  9.99598e-01  3.99839e-04  2.14456e-06  3.19646e+01  3.65213e+01
 5.97065e+05  214.658  28.00638     0.020  9.99598e-01  3.99839e-04  2.12235e-06  3.20995e+01  3.65391e+01
 5.94871e+05  214.475  28.00638     0.049  9.99598e-01  3.99839e-04  2.07790e-06  3.23013e+01  3.65680e+01
 5.89886e+05  214.057  28.00638     0.117  9.99598e-01  3.99839e-04  1.97958e-06  3.27180e+01  3.66334e+01
 5.79915e+05  213.212  28.00638     0.253  9.99598e-01  3.99839e-04  1.79377e-06  3.35507e+01  3.67811e+01
 5.61574e+05  211.594  28.00638     0.510  9.99599e-01  3.99839e-04  1.48023e-06  3.48945e+01  3.70547e+01
 5.28917e+05  208.734  28.00639     0.990  9.99599e-01  3.99840e-04  1.04818e-06  3.68376e+01  3.75403e+01
 4.74917e+05  203.618  28.00639     1.851  9.99600e-01  3.99840e-04  5.49138e-07  3.92596e+01  3.83721e+01
 3.96166e+05  195.423  28.00640     3.302  9.99600e-01  3.99840e-04  1.71531e-07  4.18455e+01  3.97559e+01
 2.98552e+05  191.976  28.00640     5.565  9.99600e-01  3.99840e-04  1.12501e-07  4.24752e+01  4.19045e+01
 2.02924e+05  186.612  28.00640     8.654  9.99600e-01  3.99840e-04  6.43498e-08  4.53962e+01  4.50574e+01
 1.31159e+05  181.740  28.00640    12.145  9.99600e-01  3.99840e-04  4.01163e-08  4.89912e+01  4.87887e+01
 8.47740e+04  178.476  28.00640    15.636  9.99600e-01  3.99840e-04  3.27677e-08  5.23908e+01  5.22706e+01
 5.47932e+04  177.334  28.00640    19.128  9.99600e-01  3.99840e-04  3.49884e-08  5.55466e+01  5.54843e+01
 3.54153e+04  178.170  28.00640    22.619  9.99600e-01  3.99840e-04  3.82017e-08  5.84489e+01  5.84337e+01
 2.28905e+04  180.351  28.00640    26.110  9.99600e-01  3.99840e-04  4.27240e-08  6.10782e+01  6.11017e+01
 1.47952e+04  182.763  28.00640    29.602  9.99600e-01  3.99840e-04  4.89073e-08  6.34029e+01  6.34564e+01
 9.56277e+03  184.107  28.00640    33.093  9.99600e-01  3.99840e-04  5.70511e-08  6.54258e+01  6.55007e+01
 6.18085e+03  183.828  28.00640    36.585  9.99600e-01  3.99840e-04  6.73153e-08  6.71645e+01  6.72529e+01
 3.91890e+03  181.304  28.00640    40.230  9.99600e-01  3.99840e-04  8.00888e-08  6.86468e+01  6.87434e+01
 2.32090e+03  176.920  28.00640    44.421  9.99600e-01  3.99840e-04  9.73231e-08  7.00283e+01  7.01296e+01
 1.27205e+03  171.832  28.00640    49.231  9.99600e-01  3.99840e-04  1.21374e-07  7.13994e+01  7.15036e+01
 6.80880e+02  167.470  28.00640    54.231  9.99600e-01  3.99840e-04  1.51296e-07  7.24682e+01  7.25739e+01
 3.64449e+02  164.850  28.00640    59.231  9.99600e-01  3.99840e-04  1.87567e-07  7.32347e+01  7.33409e+01
 1.95076e+02  161.765  28.00640    64.231  9.99600e-01  3.99840e-04  2.33762e-07  7.38701e+01  7.39751e+01
 9.85179e+01  157.068  28.00640    69.696  9.99600e-01  3.99840e-04  1.86809e-07  7.44024e+01  7.45025e+01
 3.92458e+01  155.976  28.00640    77.059  9.99600e-01  3.99840e-04  2.36369e-07  7.48258e+01  7.49484e+01
 1.12441e+01  154.672  28.00639    87.059  9.99599e-01  3.99839e-04  1.00892e-06  7.51908e+01  7.53581e+01
 3.22149e+00  116.836  28.00640    97.059  9.99600e-01  3.99840e-04  4.73992e-12  7.54491e+01  7.55585e+01
