# Model name = photochem.clima
# Diameter: 12742                # Diameter of the planet [km]
# Gravity: 9.81                 # Gravity at the surface of the atmosphere [m/s2]
# Star-distance: 1.000               # Planet-star distance [au]
# Star-type: Sun                 # Host-star type
# Star-temperature: 5772         # Host-star temperature [K]
# Wavelength-min: N/A            # Minimum wavelength [um]
# Wavelength-max: N/A            # Maximum wavelength [um]
# Radiance-unit: W/m^2           # Radiation output unit
# Surface-temperature: 288       # Surface temperature [K]
# Surface-albedo: 0.32           # Surface albedo
# Surface-emissivity: 0.90        # Surface emissivity
# Opacity: corrk + continuum     # corrk + continuum, other ? 
# Line opacities = H2O, CO2
# CIA opacities = H2O-H2O, H2O-N2, CO2-CO2, N2-N2
# Rayleigh opacities = N2, CO2, H2O
# Outgoing longwave radiation (W/m^2) = 230.08
# Absorbed stellar radiation (W/m^2) = 244.13
# Atmosphere-description: Modern Earth
# Atmosphere-columns: P T MMW Alt N2 CO2 H2O OTR ASR
# Atmosphere-fit-T: N/A
# Atmosphere-fit-H2: N/A
# Atmosphere-fit-He: N/A
# Atmosphere-fit-H2O: N/A
# Atmosphere-fit-CH4: N/A
# Atmosphere-layers: 200
# P (Pa)        T (K)         MMW (g/mol)   Alt (km)      N2            CO2           H2O           OTR           ASR       
1.017e+05     288.0000      27.8490       0.0000        9.8300e-01    3.9320e-04    1.6605e-02    4.5614e+01    1.6482e+02    
9.827e+04     286.6289      27.8490       0.3020        9.8388e-01    3.9355e-04    1.5730e-02    6.1434e+01    1.7097e+02    
9.170e+04     283.8569      27.8659       0.9014        9.8557e-01    3.9423e-04    1.4037e-02    7.4475e+01    1.7655e+02    
8.558e+04     281.0147      27.8821       1.4947        9.8718e-01    3.9487e-04    1.2421e-02    8.5383e+01    1.8175e+02    
7.986e+04     278.1024      27.8974       2.0818        9.8872e-01    3.9549e-04    1.0889e-02    9.4572e+01    1.8669e+02    
7.452e+04     275.1100      27.9119       2.6624        9.9016e-01    3.9606e-04    9.4473e-03    1.0238e+02    1.9147e+02    
6.954e+04     272.0275      27.9253       3.2365        9.9150e-01    3.9660e-04    8.1014e-03    1.0921e+02    1.9614e+02    
6.489e+04     268.8548      27.9378       3.8038        9.9275e-01    3.9710e-04    6.8573e-03    1.1550e+02    2.0069e+02    
6.056e+04     265.5718      27.9492       4.3642        9.9388e-01    3.9755e-04    5.7203e-03    1.2172e+02    2.0510e+02    
5.651e+04     262.1787      27.9594       4.9176        9.9491e-01    3.9796e-04    4.6957e-03    1.2826e+02    2.0929e+02    
5.273e+04     258.6753      27.9685       5.4636        9.9581e-01    3.9833e-04    3.7875e-03    1.3540e+02    2.1324e+02    
4.921e+04     255.0419      27.9764       6.0020        9.9660e-01    3.9864e-04    2.9976e-03    1.4312e+02    2.1696e+02    
4.592e+04     251.2983      27.9831       6.5327        9.9728e-01    3.9891e-04    2.3251e-03    1.5121e+02    2.2046e+02    
4.285e+04     247.4547      27.9887       7.0553        9.9783e-01    3.9913e-04    1.7659e-03    1.5921e+02    2.2375e+02    
3.999e+04     243.5104      27.9933       7.5698        9.9829e-01    3.9932e-04    1.3123e-03    1.6678e+02    2.2675e+02    
3.732e+04     239.4774      27.9968       8.0760        9.9865e-01    3.9946e-04    9.5434e-04    1.7385e+02    2.2943e+02    
3.482e+04     235.3838      27.9996       8.5737        9.9892e-01    3.9957e-04    6.7910e-04    1.8043e+02    2.3178e+02    
3.250e+04     231.2202      28.0017       9.0627        9.9913e-01    3.9965e-04    4.7332e-04    1.8658e+02    2.3379e+02    
3.032e+04     227.0273      28.0032       9.5430        9.9928e-01    3.9971e-04    3.2377e-04    1.9219e+02    2.3546e+02    
2.830e+04     222.8446      28.0042       10.0146       9.9938e-01    3.9975e-04    2.1782e-04    1.9706e+02    2.3678e+02    
2.641e+04     218.6923      28.0050       10.4775       9.9946e-01    3.9978e-04    1.4439e-04    2.0108e+02    2.3778e+02    
2.464e+04     214.6109      28.0055       10.9319       9.9951e-01    3.9980e-04    9.4424e-05    2.0416e+02    2.3850e+02    
2.300e+04     210.6193      28.0058       11.3778       9.9954e-01    3.9982e-04    6.0941e-05    2.0630e+02    2.3902e+02    
