# Model name = photochem.clima
# Diameter: 12742                # Diameter of the planet [km]
# Gravity: 9.81                 # Gravity at the surface of the atmosphere [m/s2]
# Star-distance: 1.000               # Planet-star distance [au]
# Star-type: Sun                 # Host-star type
# Star-temperature: 5772         # Host-star temperature [K]
# Wavelength-min: N/A            # Minimum wavelength [um]
# Wavelength-max: N/A            # Maximum wavelength [um]
# Radiance-unit: W/m^2           # Radiation output unit
# Surface-temperature: 286       # Surface temperature [K]
# Surface-albedo: 0.32           # Surface albedo
# Surface-emissivity: 0.90        # Surface emissivity
# Opacity: corrk + continuum     # corrk + continuum, other ? 
# Line opacities = H2O, CO2
# CIA opacities = H2O-H2O, H2O-N2, CO2-CO2, N2-N2
# Rayleigh opacities = N2, CO2, H2O
# Outgoing longwave radiation (W/m^2) = 238.42
# Absorbed stellar radiation (W/m^2) = 238.42
# Atmosphere-description: Modern Earth
# Atmosphere-columns: P T MMW Alt N2 CO2 H2O OTR ASR
# Atmosphere-fit-T: N/A
# Atmosphere-fit-H2: N/A
# Atmosphere-fit-He: N/A
# Atmosphere-fit-H2O: N/A
# Atmosphere-fit-CH4: N/A
# Atmosphere-layers: 100
# P (Pa)        T (K)         MMW (g/mol)   Alt (km)      N2            CO2           H2O           OTR           ASR       
9.981e+04     285.8115      27.8734       0.0000        9.8486e-01    3.9395e-04    1.4741e-02    5.8574e+01    1.7511e+02    
9.423e+04     283.3415      27.8734       0.4975        9.8632e-01    3.9453e-04    1.3286e-02    8.3936e+01    1.8427e+02    
8.398e+04     278.2283      27.9007       1.4786        9.8904e-01    3.9562e-04    1.0567e-02    1.0254e+02    1.9248e+02    
7.485e+04     272.8853      27.9251       2.4409        9.9148e-01    3.9659e-04    8.1281e-03    1.1781e+02    2.0016e+02    
6.671e+04     267.8335      27.9469       3.3845        9.9366e-01    3.9746e-04    5.9425e-03    1.3346e+02    2.0725e+02    
5.946e+04     262.3221      27.9653       4.3093        9.9550e-01    3.9820e-04    4.1022e-03    1.5002e+02    2.1367e+02    
5.299e+04     256.3033      27.9799       5.2138        9.9696e-01    3.9878e-04    2.6453e-03    1.6610e+02    2.1937e+02    
4.723e+04     249.7817      27.9906       6.0962        9.9802e-01    3.9921e-04    1.5813e-03    1.8101e+02    2.2420e+02    
4.210e+04     242.8398      27.9976       6.9550        9.9873e-01    3.9949e-04    8.7517e-04    1.9442e+02    2.2814e+02    
3.752e+04     235.6280      28.0019       7.7893        9.9915e-01    3.9966e-04    4.5127e-04    2.0630e+02    2.3110e+02    
3.344e+04     228.3165      28.0042       8.5984        9.9938e-01    3.9975e-04    2.1914e-04    2.1627e+02    2.3313e+02    
2.980e+04     221.0460      28.0054       9.3821        9.9950e-01    3.9980e-04    1.0130e-04    2.2405e+02    2.3446e+02    
2.656e+04     213.9086      28.0059       10.1409       9.9956e-01    3.9982e-04    4.4928e-05    2.2954e+02    2.3531e+02    
2.367e+04     206.9544      28.0062       10.8753       9.9958e-01    3.9983e-04    1.9207e-05    2.3313e+02    2.3585e+02    
2.110e+04     200.2058      28.0063       11.5859       9.9959e-01    3.9984e-04    7.9321e-06    2.3521e+02    2.3619e+02    
1.881e+04     193.6701      28.0064       12.2735       9.9960e-01    3.9984e-04    3.1668e-06    2.3625e+02    2.3642e+02    
1.676e+04     187.3467      28.0064       12.9388       9.9960e-01    3.9984e-04    1.2220e-06    2.3658e+02    2.3658e+02    
1.494e+04     182.9971      28.0064       13.5856       9.9960e-01    3.9984e-04    6.3078e-07    2.3672e+02    2.3672e+02    
1.331e+04     180.0464      28.0064       14.2197       9.9960e-01    3.9984e-04    4.0925e-07    2.3684e+02    2.3684e+02    
1.187e+04     177.5068      28.0064       14.8444       9.9960e-01    3.9984e-04    2.8248e-07    2.3695e+02    2.3695e+02    
1.058e+04     175.2509      28.0064       15.4609       9.9960e-01    3.9984e-04    2.0347e-07    2.3705e+02    2.3705e+02    
9.426e+03     173.1596      28.0064       16.0698       9.9960e-01    3.9984e-04    1.4984e-07    2.3715e+02    2.3715e+02    
