# Model name = photochem.clima
# Diameter: 14401                # Diameter of the planet [km]
# Gravity: 10.15                 # Gravity at the surface of the atmosphere [m/s2]
# Star-distance: 0.047               # Planet-star distance [au]
# Star-type: TRAPPIST-1                 # Host-star type
# Star-temperature: 2566         # Host-star temperature [K]
# Wavelength-min: N/A            # Minimum wavelength [um]
# Wavelength-max: N/A            # Maximum wavelength [um]
# Radiance-unit: W/m^2           # Radiation output unit
# Surface-temperature: 233       # Surface temperature [K]
# Surface-albedo: 0.20           # Surface albedo
# Surface-emissivity: 1.00        # Surface emissivity
# Opacity: corrk + continuum     # corrk + continuum, other ? 
# Line opacities = H2O, CO2
# CIA opacities = H2O-H2O, H2O-N2, CO2-CO2, N2-N2
# Rayleigh opacities = N2, CO2, H2O
# Outgoing longwave radiation (W/m^2) = 77.44
# Absorbed stellar radiation (W/m^2) = 77.53
# Atmosphere-description: TRAPPIST1g CO2=5bar
# Atmosphere-columns: P T MMW Alt N2 CO2 H2O OTR ASR
# Atmosphere-fit-T: N/A
# Atmosphere-fit-H2: N/A
# Atmosphere-fit-He: N/A
# Atmosphere-fit-H2O: N/A
# Atmosphere-fit-CH4: N/A
# Atmosphere-layers: 50
# P (Pa)        T (K)         MMW (g/mol)   Alt (km)      N2            CO2           H2O           OTR           ASR       
6.000e+05     232.6345      41.3331       0.0000        1.6666e-01    8.3332e-01    2.0153e-05    8.7826e+00    3.0166e+01    
5.253e+05     224.9714      41.3331       0.6029        1.6667e-01    8.3333e-01    9.3424e-06    2.2297e+01    3.5014e+01    
4.025e+05     210.4548      41.3324       1.7506        1.6672e-01    8.3327e-01    1.8504e-06    2.4867e+01    3.8235e+01    
3.085e+05     206.6167      41.2965       2.8507        1.6896e-01    8.3103e-01    1.4042e-06    2.9759e+01    4.1148e+01    
2.364e+05     202.9252      41.2607       3.9323        1.7121e-01    8.2879e-01    1.0674e-06    3.5209e+01    4.3860e+01    
1.812e+05     199.3716      41.2247       4.9959        1.7345e-01    8.2654e-01    8.1262e-07    4.0342e+01    4.6473e+01    
1.389e+05     195.9482      41.1887       6.0423        1.7570e-01    8.2430e-01    6.1961e-07    4.4988e+01    4.9024e+01    
1.064e+05     192.6475      41.1527       7.0722        1.7796e-01    8.2204e-01    4.7314e-07    4.9189e+01    5.1523e+01    
8.155e+04     189.4628      41.1166       8.0860        1.8021e-01    8.1979e-01    3.6179e-07    5.2833e+01    5.3890e+01    
6.250e+04     186.3880      41.0805       9.0843        1.8247e-01    8.1753e-01    2.7702e-07    5.5802e+01    5.6090e+01    
4.790e+04     183.4172      41.0444       10.0677       1.8472e-01    8.1528e-01    2.1239e-07    5.8108e+01    5.8108e+01    
3.671e+04     181.0188      41.0444       11.0376       1.8472e-01    8.1528e-01    1.7816e-07    5.9944e+01    5.9944e+01    
2.813e+04     179.9233      41.0444       11.9984       1.8472e-01    8.1528e-01    1.7816e-07    6.1601e+01    6.1601e+01    
2.156e+04     179.5634      41.0444       12.9555       1.8472e-01    8.1528e-01    1.7816e-07    6.3114e+01    6.3114e+01    
1.652e+04     180.3664      41.0444       13.9141       1.8472e-01    8.1528e-01    1.7816e-07    6.4562e+01    6.4562e+01    
1.266e+04     182.5707      41.0444       14.8810       1.8472e-01    8.1528e-01    1.7816e-07    6.5981e+01    6.5981e+01    
9.704e+03     185.3972      41.0444       15.8616       1.8472e-01    8.1528e-01    1.7816e-07    6.7345e+01    6.7345e+01    
7.436e+03     187.2055      41.0444       16.8547       1.8472e-01    8.1528e-01    1.7816e-07    6.8571e+01    6.8571e+01    
5.699e+03     186.9215      41.0444       17.8522       1.8472e-01    8.1528e-01    1.7816e-07    6.9635e+01    6.9635e+01    
4.368e+03     185.0240      41.0444       18.8442       1.8472e-01    8.1528e-01    1.7816e-07    7.0564e+01    7.0564e+01    
3.347e+03     182.9834      41.0444       19.8259       1.8472e-01    8.1528e-01    1.7816e-07    7.1398e+01    7.1398e+01    
2.565e+03     181.1977      41.0444       20.7977       1.8472e-01    8.1528e-01    1.7816e-07    7.2150e+01    7.2151e+01    
1.966e+03     178.8588      41.0444       21.7587       1.8472e-01    8.1528e-01    1.7816e-07    7.2813e+01    7.2813e+01    
1.507e+03     175.8777      41.0444       22.7058       1.8472e-01    8.1528e-01    1.7816e-07    7.3369e+01    7.3369e+01    
1.155e+03     173.2484      41.0444       23.6382       1.8472e-01    8.1528e-01    1.7816e-07    7.3823e+01    7.3823e+01    
8.848e+02     171.5821      41.0444       24.5593       1.8472e-01    8.1528e-01    1.7816e-07    7.4212e+01    7.4212e+01    
6.781e+02     170.2543      41.0444       25.4726       1.8472e-01    8.1528e-01    1.7816e-07    7.4578e+01    7.4578e+01    
5.197e+02     168.4421      41.0444       26.3778       1.8472e-01    8.1528e-01    1.7816e-07    7.4929e+01    7.4929e+01    
3.983e+02     166.2982      41.0444       27.2726       1.8472e-01    8.1528e-01    1.7816e-07    7.5244e+01    7.5244e+01    
3.052e+02     164.3341      41.0444       28.1567       1.8472e-01    8.1528e-01    1.7816e-07    7.5510e+01    7.5510e+01    
2.339e+02     162.5696      41.0444       29.0310       1.8472e-01    8.1528e-01    1.7816e-07    7.5732e+01    7.5732e+01    
1.793e+02     160.6604      41.0444       29.8957       1.8472e-01    8.1528e-01    1.7816e-07    7.5925e+01    7.5925e+01    
1.374e+02     158.7828      41.0444       30.7505       1.8472e-01    8.1528e-01    1.7816e-07    7.6099e+01    7.6099e+01    
1.053e+02     157.6425      41.0444       31.5974       1.8472e-01    8.1528e-01    1.7816e-07    7.6263e+01    7.6263e+01    
8.068e+01     157.5695      41.0444       32.4412       1.8472e-01    8.1528e-01    1.7816e-07    7.6418e+01    7.6418e+01    
6.183e+01     157.8172      41.0444       33.2857       1.8472e-01    8.1528e-01    1.7816e-07    7.6558e+01    7.6558e+01    
4.739e+01     157.4918      41.0444       34.1302       1.8472e-01    8.1528e-01    1.7816e-07    7.6676e+01    7.6676e+01    
3.632e+01     156.6494      41.0444       34.9718       1.8472e-01    8.1528e-01    1.7816e-07    7.6774e+01    7.6774e+01    
2.783e+01     156.0844      41.0444       35.8097       1.8472e-01    8.1528e-01    1.7816e-07    7.6859e+01    7.6859e+01    
2.133e+01     156.4523      41.0444       36.6474       1.8472e-01    8.1528e-01    1.7816e-07    7.6936e+01    7.6937e+01    
1.635e+01     157.7916      41.0444       37.4898       1.8472e-01    8.1528e-01    1.7816e-07    7.7007e+01    7.7007e+01    
1.253e+01     159.6095      41.0444       38.3409       1.8472e-01    8.1528e-01    1.7816e-07    7.7069e+01    7.7069e+01    
9.600e+00     161.3879      41.0444       39.2018       1.8472e-01    8.1528e-01    1.7816e-07    7.7122e+01    7.7122e+01    
7.357e+00     162.9540      41.0444       40.0719       1.8472e-01    8.1528e-01    1.7816e-07    7.7166e+01    7.7166e+01    
5.638e+00     164.4188      41.0444       40.9504       1.8472e-01    8.1528e-01    1.7816e-07    7.7204e+01    7.7204e+01    
4.321e+00     165.7708      41.0444       41.8366       1.8472e-01    8.1528e-01    1.7816e-07    7.7237e+01    7.7237e+01    
3.312e+00     166.6544      41.0444       42.7291       1.8472e-01    8.1528e-01    1.7816e-07    7.7266e+01    7.7266e+01    
2.538e+00     166.7005      41.0444       43.6242       1.8472e-01    8.1528e-01    1.7816e-07    7.7292e+01    7.7292e+01    
1.945e+00     165.9897      41.0444       44.5179       1.8472e-01    8.1528e-01    1.7816e-07    7.7317e+01    7.7317e+01    
1.491e+00     165.0183      41.0444       45.4072       1.8472e-01    8.1528e-01    1.7816e-07    7.7341e+01    7.7341e+01    
1.142e+00     164.6504      41.0444       46.2931       1.8472e-01    8.1528e-01    1.7816e-07    7.7367e+01    7.7367e+01    
